;DATUM;TIJD;LOCATIE;MAN. > 2 JR.;MAN. 1-2 JR.;MAN. < 1 JAAR;VR. > 2 JR.;VR. 1-2 JR.;VR. < 1 JR.;MANNELIJK;VROUWELIJK;KALVEREN;BIJZONDERHEDEN;TOTAAL
391;2023-10-02;00:00;TERLET - NOORD;14,0;5,0;3,0;33,0;6,0;8,0;;;;;69,0
392;2023-10-02;00:00;DELHUYZEN;1,0;0,0;0,0;0,0;0,0;0,0;;;;;1,0
393;2023-10-02;00:00;BIJNKHORSTERWEG KLEINE HEIDE;11,0;0,0;0,0;11,0;0,0;0,0;;;;;22,0
394;2023-10-02;00:00;MULLEHUL - LOENSEVELD THV.;7,0;0,0;0,0;0,0;0,0;0,0;;;;;7,0
395;2023-09-18;00:00;POSBANK;2,0;0,0;1,0;3,0;1,0;1,0;;;;;8,0
396;2023-09-18;00:00;LAPPENDEKEN;3,0;0,0;1,0;1,0;0,0;0,0;;;;;5,0
397;2023-09-18;00:00;BRANTSEMSEHEIDE;3,0;2,0;0,0;1,0;0,0;0,0;;;;;6,0
398;2023-09-18;00:00;WAPENVEEN;2,0;0,0;0,0;0,0;0,0;0,0;;;;;2,0
399;2023-09-18;00:00;FAGELSHEIDE;3,0;0,0;0,0;6,0;0,0;0,0;;;;;9,0
400;2023-09-18;00:00;DOORNSTRUIK - NABIJ VLIEGDEM;1,0;0,0;1,0;3,0;0,0;1,0;;;;;6,0
401;2023-10-16;00:00;TERLETSE HEIDE (VERSPREID);9,0;0,0;2,0;13,0;2,0;3,0;;;;;29,0
402;2023-10-16;00:00;GROENENDAAL;6,0;0,0;0,0;0,0;0,0;0,0;;;;;6,0
403;2023-10-16;00:00;LOENENSEVELD;19,0;3,0;13,0;37,0;4,0;9,0;;;;;85,0
404;2023-10-16;00:00;DW - RUSTGEBIED NABIJ W.WISSEL;1,0;0,0;0,0;0,0;0,0;0,0;;;;;1,0
405;2023-10-16;00:00;DW - KL. HEIDE;3,0;0,0;0,0;0,0;0,0;0,0;;;;;3,0
406;2023-10-16;00:00;VARKENSPUB;1,0;0,0;0,0;0,0;0,0;0,0;;;;;1,0
407;2023-10-02;00:00;TONNEKESWEG - IMBOSBERG;2,0;0,0;0,0;0,0;0,0;0,0;;;;;2,0
408;2023-10-02;00:00;CAROLINAHOEVE;4,0;0,0;1,0;0,0;3,0;0,0;;;;;8,0
409;2023-10-02;00:00;BRAASEMSHEIDE;3,0;0,0;0,0;5,0;0,0;1,0;;;;2X FOTO GPS IVM OOGLETSEL;9,0
410;2023-10-02;00:00;EERBEEKSEWEG/VELPERBERG;0,0;0,0;0,0;1,0;0,0;0,0;;;;BLIND AAN 1 OOG. SOLITAIR BEEST. X KLAAS GPS - FOTO;1,0
411;2023-10-02;00:00;EERBEEKSEWEG - THV SE HEIDE;2,0;0,0;0,0;0,0;0,0;0,0;;;;;2,0
412;2023-10-02;00:00;LAMSGROEN - HESSENGRACHT;0,0;0,0;0,0;0,0;0,0;0,0;;;;;0,0
413;2023-10-30;00:00;DW VAN BEEKSWEG;1,0;0,0;0,0;0,0;0,0;0,0;;;;;1,0
414;2023-10-30;00:00;DW BRINKHORSTEWEG KL HEIDE + GROTE HEIDE;10,0;0,0;0,0;15,0;0,0;1,0;;;;;26,0
415;2023-10-30;00:00;VARKENSBOS;1,0;0,0;0,0;0,0;0,0;0,0;;;;;1,0
416;2023-10-30;00:00;LAMSGROEN - TONNEKESWEG;0,0;0,0;0,0;0,0;0,0;0,0;;;;;0,0
417;2023-10-30;00:00;CAROLINAHOEVE + LAPPENDEKEN;0,0;0,0;0,0;0,0;0,0;0,0;;;;GEEN BEZOEK.;0,0
418;2023-10-16;00:00;LAPPENDEKEN;3,0;0,0;0,0;5,0;0,0;0,0;;;;;8,0
419;2023-10-16;00:00;ROUWENBERG;1,0;0,0;1,0;1,0;1,0;1,0;;;;;5,0
420;2023-10-16;00:00;BRABANTSE HEIDE;1,0;0,0;0,0;0,0;0,0;0,0;;;;;1,0
421;2023-10-16;00:00;WAPENVEEN;2,0;0,0;0,0;3,0;0,0;0,0;;;;;5,0
422;2023-10-16;00:00;DOORNSTRUIK;13,0;0,0;3,0;5,0;0,0;0,0;;;;;21,0
423;2023-10-16;00:00;EERBEEKSEWEG;0,0;0,0;0,0;1,0;0,0;0,0;;;;L.OOG AANGETAST. ZIE VORIGE TELLING! ONRUSTIG;1,0
424;2023-11-13;00:00;LOENENSE VELD;9,0;1,0;9,0;16,0;1,0;3,0;;;;;39,0
425;2023-11-13;00:00;HMARIENHULBERG-BR. WEG DW;7,0;0,0;1,0;13,0;0,0;0,0;;;;;21,0
426;2023-11-13;00:00;DW - RUSTGEBIED TERLET;1,0;0,0;0,0;0,0;0,0;0,0;;;;G.B.;1,0
427;2023-11-13;00:00;TAFELBERG;2,0;1,0;0,0;0,0;0,0;0,0;;;;;3,0
428;2023-10-30;00:00;DELHUYZEN;1,0;0,0;0,0;0,0;0,0;0,0;;;;;1,0
429;2023-10-30;00:00;ROZENDAALSEVELD - TANKBAAN;4,0;2,0;0,0;8,0;1,0;1,0;;;;;16,0
430;2023-10-30;00:00;TERLETSE HEIDE;1,0;0,0;0,0;0,0;0,0;0,0;;;;;1,0
431;2023-10-30;00:00;TERLET - NOORD;3,0;0,0;3,0;14,0;2,0;5,0;;;;;27,0
432;2023-10-30;00:00;GROENENDAAL;6,0;0,0;2,0;9,0;1,0;0,0;;;;;18,0
433;2023-10-30;00:00;LOENENSE VELD;15,0;4,0;12,0;32,0;5,0;6,0;;;;;74,0
434;2023-11-13;00:00;LAPPENDEKEN;3,0;1,0;1,0;7,0;2,0;1,0;;;;GEEN BLAUWTONG VERSCHIJNSELEN;15,0
435;2023-11-13;00:00;CAROLINAHOEVE - DE LUS - POSBANK;0,0;0,0;0,0;0,0;0,0;0,0;;;;N.A.;0,0
436;2023-11-13;00:00;WAPENVEEN;1,0;0,0;0,0;0,0;0,0;0,0;;;;GROETJES KLAAS EN LUC.;1,0
437;2023-11-13;00:00;TONNEKESWEG - DEURENSCHE BERG;0,0;0,0;0,0;1,0;0,0;0,0;;;;2X VIDEO - AFWIJKEND GEDRAG SLIJM - GROMMEN! OPGELOST!;1,0
438;2023-11-13;00:00;DOORNSTRUIK;8,0;0,0;1,0;7,0;0,0;2,0;;;;;18,0
439;2023-11-13;00:00;TERLETSE HEIDE;8,0;0,0;1,0;6,0;1,0;2,0;;;;IN SLENK TER HEIDE;18,0
440;2023-11-13;00:00;TERLET NOORD;6,0;2,0;4,0;21,0;1,0;5,0;;;;;39,0
441;2023-11-13;00:00;ZWARTE BERGEN;2,0;0,0;0,0;0,0;0,0;0,0;;;;;2,0
442;2023-11-13;00:00;GROENENDAAL;10,0;0,0;6,0;14,0;5,0;3,0;;;;;38,0
443;2023-12-11;00:00;TONNEKES;1,0;0,0;2,0;7,0;1,0;4,0;;;;;15,0
444;2023-12-11;00:00;RIN - AKKER - H. HANLEG;0,0;0,0;0,0;0,0;0,0;0,0;;;;;0,0
445;2023-12-11;00:00;TERLETSE HEIDE;1,0;0,0;0,0;0,0;0,0;0,0;;;;;1,0
446;2023-12-11;00:00;GROENENDAAL;7,0;0,0;6,0;6,0;0,0;0,0;;;;;19,0
447;2023-12-11;00:00;LOENSE VELD;23,0;1,0;10,0;40,0;2,0;5,0;;;;;81,0
448;2023-12-11;00:00;DW - KL. HEIDE - BRINKH. WEG;7,0;0,0;0,0;7,0;2,0;1,0;;;;;17,0
449;2023-12-11;00:00;RUSTGEBIED TERLET (DW);4,0;1,0;3,0;21,0;2,0;2,0;;;;;33,0
450;2023-12-11;00:00;TERLET NOORD - ZUID EN ACHTER VL. VELD;0,0;0,0;0,0;0,0;0,0;0,0;;;;EMIGRATIE NAAR DW!;0,0
451;2023-12-11;00:00;EERBEEKSEWEG/TERLET HEIDE;3,0;0,0;0,0;0,0;0,0;0,0;;;;;3,0
452;2023-12-11;00:00;LAMSGROEN;1,0;0,0;0,0;2,0;0,0;0,0;;;;;3,0
453;2023-12-22;00:00;LAPPENDEKEN;4,0;0,0;0,0;3,0;0,0;0,0;;;;;7,0
454;2023-12-22;00:00;CAROLINAHOEVE;1,0;0,0;0,0;7,0;1,0;1,0;;;;;10,0
455;2023-12-22;00:00;DOORNSTRUIK;1,0;0,0;0,0;0,0;0,0;0,0;;;;;1,0
456;2023-12-22;00:00;RIN-AKKER;1,0;0,0;0,0;0,0;0,0;0,0;;;;;1,0
457;2023-12-22;00:00;GROENENDAAL/FAKKERT;23,0;0,0;9,0;37,0;4,0;4,0;;;;;77,0
458;2023-12-22;00:00;LOENENSE VELD;7,0;0,0;4,0;8,0;1,0;5,0;;;;;25,0
459;2023-12-22;00:00;DW-RUSTGEBIED TERLET;8,0;0,0;0,0;14,0;0,0;1,0;;;;;23,0
460;2023-12-22;00:00;TERLET NOORD-ZUID-VL VELD;0,0;0,0;0,0;0,0;0,0;0,0;;;;;0,0
461;2023-12-22;00:00;TERLETSE HEIDE;4,0;0,0;0,0;6,0;0,0;3,0;;;;LANGS PARALLELWEG TAKJES GEVALLEN BERK ETEN;13,0
462;2023-12-22;00:00;LAMSGROEN;2,0;0,0;0,0;1,0;0,0;0,0;;;;EINDE DIENST 16:30 UUR. FIJNE FEESTDAGEN! TOT 09-01-2014.;3,0
463;2023-12-11;00:00;LAPPENDEKEN-POSBANK-CAROLINAHOEVE;0,0;0,0;0,0;0,0;0,0;0,0;;;;;0,0
464;2023-12-11;00:00;IJZERBAAN;2,0;0,0;0,0;2,0;0,0;0,0;;;;;4,0
465;2023-12-11;00:00;WAPENVEEN;3,0;1,0;0,0;2,0;0,0;0,0;;;;;6,0
466;2024-01-09;15:35;DW - TERLET RUSTGEBIED;1,0;0,0;0,0;5,0;0,0;0,0;;;;;6,0
467;2024-01-09;13:40;GROENENDAAL;17,0;2,0;6,0;23,0;2,0;7,0;;;;Ijs gehakt;57,0
468;2024-01-09;15:00;LOENENSEVELD;0,0;0,0;0,0;0,0;0,0;0,0;;;;;0,0
469;2024-01-09;15:15;DW - KL.HEIDE;1,0;0,0;0,0;0,0;0,0;0,0;;;;;1,0
470;2024-01-09;12:30;TERLET;1,0;0,0;0,0;0,0;0,0;0,0;;;;;1,0
471;2024-01-09;12:35;TERLET ZWEEF VL VELD WEILAND;0,0;0,0;0,0;0,0;0,0;0,0;;;;;0,0
472;2024-01-09;13:15;DE BRAAK;1,0;1,0;1,0;4,0;0,0;0,0;;;;Ijs gehakt;7,0
473;2024-01-09;11:10;KROMME ELBOOG;2,0;0,0;0,0;2,0;0,0;0,0;;;;;4,0
474;2024-01-09;00:00;HESSEN GAT - TERL HEIDE;3,0;0,0;2,0;6,0;1,0;1,0;;;;;13,0
475;2024-01-09;11:40;TERLETSE HEIDE;8,0;1,0;5,0;37,0;2,0;5,0;;;;;58,0
476;2024-01-09;10:00;BRAND SINGEL ACHTER TONNEKES;0,0;0,0;2,0;3,0;0,0;1,0;;;;;6,0
477;2024-01-09;10:40;KORHOENDER WEIDJE-TONNEKES;2,0;0,0;0,0;10,0;1,0;1,0;;;;Groep onrustig. Wolf??;14,0
478;2024-01-09;11:00;DOORNSTRUIK;4,0;0,0;0,0;2,0;0,0;0,0;;;;;6,0
479;2024-01-22;14:30;DW - HALFREUS;2,0;0,0;0,0;1,0;0,0;0,0;;;;;3,0
480;2024-01-22;13:00;LOEMENSVELD;12,0;0,0;5,0;19,0;4,0;2,0;;;;;42,0
481;2024-01-22;13:40;DW - HEIDE BR. WEG;8,0;0,0;0,0;13,0;0,0;0,0;;;;;21,0
482;2024-01-22;13:40;DW - TERLET RUSTGEBIED;4,0;2,0;3,0;19,0;1,0;3,0;;;;;32,0
483;2024-01-22;11:30;NIEUWE AANLEG - RIM AKKER;2,0;0,0;1,0;1,0;0,0;0,0;;;;;4,0
484;2024-01-22;12:00;DE BRAAK;3,0;0,0;0,0;0,0;0,0;0,0;;;;;3,0
485;2024-01-22;12:30;GROENENDAAL;14,0;1,0;3,0;22,0;4,0;7,0;;;;Kraal opzetten. Video + foto's;51,0
486;2024-01-22;00:00;CAROLINAHOEVE;1,0;0,0;2,0;6,0;2,0;1,0;;;;;12,0
487;2024-01-22;11:00;EERBEEKSEWEG THV. BERENBERG;1,0;0,0;1,0;2,0;0,0;1,0;;;;Bosjes vegetatie;5,0
488;2024-01-22;11:05;EERBEEKSEWEG THV. TERLETSE HEIDE;0,0;0,0;0,0;1,0;0,0;1,0;;;;;2,0
489;2024-02-05;15:15;VOERWEIDE TONNEKESWEG;1,0;0,0;4,0;6,0;1,0;2,0;;;;;14,0
490;2024-02-05;14:45;TERLETSE HEIDE;1,0;0,0;0,0;0,0;0,0;0,0;;;;;1,0
491;2024-02-05;14:55;LAMSGROEN;3,0;0,0;0,0;1,0;0,0;0,0;;;;;4,0
492;2024-02-05;15:00;TONNEKESWEG;2,0;0,0;0,0;0,0;0,0;0,0;;;;;2,0
493;2024-02-05;00:00;KL HEIDE;4,0;0,0;0,0;0,0;0,0;0,0;;;;;4,0
494;2024-02-05;14:35;TERLET VL VELD;0,0;0,0;0,0;0,0;0,0;0,0;;;;;0,0
495;2024-02-05;14:40;TERLET 2;3,0;0,0;0,0;1,0;1,0;0,0;;;;;5,0
496;2024-02-05;12:00;DE BRAAK;1,0;1,0;0,0;16,0;1,0;0,0;;;;;19,0
497;2024-02-05;12:20;GROENENDAAL;9,0;0,0;2,0;8,0;0,0;1,0;;;;;20,0
498;2024-02-05;12:40;;11,0;0,0;10,0;32,0;4,0;4,0;;;;;61,0
499;2024-02-05;11:25;CAROLINAHOEVE;1,0;0,0;0,0;4,0;1,0;0,0;;;;;6,0
500;2024-02-05;11:45;DOORNSTRUIK & REMAKKER;0,0;0,0;0,0;0,0;0,0;0,0;;;;;0,0
501;2024-02-05;12:00;TERLET NOORD;0,0;0,0;0,0;0,0;0,0;0,0;;;;;0,0
502;2024-02-05;10:00;HET ASSELT;0,0;1,0;0,0;1,0;1,0;0,0;;;;;3,0
503;2024-02-05;10:15;LAPPENDEKEN;5,0;0,0;0,0;3,0;0,0;0,0;;;;;8,0
504;2024-02-05;10:20;BRAMTSEM HEI;1,0;0,0;0,0;0,0;0,0;0,0;;;;;1,0
505;2024-02-19;15:40;DELHUYZEN R'DAAL;2,0;0,0;0,0;0,0;0,0;0,0;;;;;2,0
506;2024-02-19;14:15;EENDENKOOI D.W.;0,0;0,0;0,0;0,0;0,0;0,0;;;;;0,0
507;2024-02-19;14:30;DW DELHUIZENWEG;2,0;0,0;0,0;0,0;0,0;0,0;;;;;2,0
508;2024-02-19;14:45;DW BRINKHORSTERWEG/HARTENHULBERT;8,0;0,0;1,0;18,0;1,0;2,0;;;;;30,0
509;2024-02-19;12:20;TERLET;5,0;0,0;1,0;19,0;1,0;3,0;;;;;29,0
510;2024-02-19;12:50;GROENENDAAL;9,0;0,0;2,0;13,0;1,0;3,0;;;;;28,0
511;2024-02-19;13:15;LOENENSEVELD;10,0;5,0;7,0;19,0;4,0;4,0;;;;Veldleeuweriken!;49,0
512;2024-02-19;11:00;RHEDERHEIDE - TONNEKESWEG;1,0;0,0;0,0;0,0;0,0;0,0;;;;;1,0
513;2024-02-19;11:50;TERLETSE HEIDE;7,0;0,0;0,0;0,0;0,0;0,0;;;;2x Veldleeuweriken baltsend;7,0
514;2024-02-19;11:45;BLOEMERSWEG LANDGROEN DOORNSTRUIK;0,0;0,0;0,0;0,0;0,0;0,0;;;;;0,0
515;2024-02-19;09:50;LAPPENDEKEN;3,0;0,0;0,0;3,0;1,0;0,0;;;;Hond aan laten lijnen;7,0
516;2024-02-19;10:00;CAROLINAHOEVE;5,0;0,0;2,0;8,0;1,0;1,0;;;;;17,0
517;2024-02-19;10:50;WILD AKKER TONNEKESWEG;4,0;0,0;0,0;0,0;0,0;0,0;;;;;4,0
518;2024-03-04;00:00;DE BRAAK;;;;;;;1,0;11,0;0,0;;12,0
519;2024-03-04;00:00;GROENENDAAL;;;;;;;9,0;2,0;0,0;;11,0
520;2024-03-04;00:00;LOENENSE VELD;;;;;;;35,0;54,0;0,0;;89,0
521;2024-03-04;00:00;TERLET WEILAND ZW VL VELD;;;;;;;0,0;0,0;0,0;NA;0,0
522;2024-03-04;00:00;DOORN STRUIK;;;;;;;2,0;0,0;0,0;;2,0
523;2024-03-04;00:00;LAMSGROEN;;;;;;;3,0;1,0;0,0;;4,0
524;2024-03-04;00:00;TERLETSE HEIDE;;;;;;;3,0;0,0;0,0;;3,0
525;2024-03-04;00:00;TERLET;;;;;;;11,0;35,0;1,0;1 STIER. 1E DIT JAAR! BESCHUIT MET MUISJES;47,0
526;2024-03-04;00:00;LAPPENDEKEN;;;;;;;7,0;11,0;0,0;;18,0
527;2024-03-04;00:00;CAROLINAHOEVE;;;;;;;5,0;8,0;0,0;;13,0
528;2024-03-04;00:00;WAPENVEEN;;;;;;;2,0;0,0;0,0;;2,0
529;2024-03-04;00:00;TONNEKESWEG;;;;;;;1,0;0,0;0,0;;1,0
530;2024-04-02;10:00;CAROLINAHOEVE;;;;;;;10,0;13,0;1,0;;24,0
531;2024-04-02;10:00;BM BLOEMERSWEG - SCHAAPSALLEE;;;;;;;2,0;1,0;0,0;;3,0
532;2024-04-02;11:00;FAGELSHEIDE - VOSSENBERGH;;;;;;;2,0;0,0;0,0;;2,0
533;2024-04-02;11:20;WILD WEI - TONNEKESWEG;;;;;;;2,0;3,0;0,0;;5,0
534;2024-04-02;12:00;DELHUIZEN / R'DAAL;;;;;;;11,0;28,0;3,0;;42,0
535;2024-04-02;12:45;DEELERWOUD - GROTE HEIDE;;;;;;;6,0;0,0;0,0;;6,0
536;2024-04-02;13:45;LOENENSE VELD;;;;;;;24,0;44,0;6,0;;74,0
537;2024-04-02;14:25;GROENENDAAL;;;;;;;8,0;2,0;0,0;;10,0
538;2024-04-02;14:50;GROENENDAAL;;;;;;;8,0;14,0;6,0;;28,0
539;2024-04-02;15:25;TERLET VL. VELD WEILAND;;;;;;;1,0;3,0;0,0;;4,0
540;2024-04-02;15:30;TERLET ZUID;;;;;;;3,0;0,0;0,0;;3,0
541;2024-04-02;15:55;LAMSGROEN;;;;;;;4,0;1,0;0,0;;5,0
542;2024-04-02;16:00;WAPENVEEN;;;;;;;1,0;0,0;0,0;;1,0
543;2024-04-02;16:00;TONNEKESWEG;;;;;;;2,0;3,0;0,0;;5,0
544;2024-04-08;14:30;DW - KL HEIDE - BR WEG;;;;;;;3,0;0,0;0,0;;3,0
545;2024-04-08;15:20;TERLET ZUID;;;;;;;4,0;20,0;3,0;;27,0
546;2024-04-08;15:30;DELHUIZEN;;;;;;;3,0;0,0;0,0;;3,0
547;2024-04-08;16:00;DOORNSTRUIK;;;;;;;8,0;0,0;0,0;;8,0
548;2024-04-08;09:55;GRAVENLAAN, DRIETIMP;;;;;;;0,0;1,0;0,0;;1,0
549;2024-04-08;10:00;CAROLINAHOEVE;;;;;;;5,0;10,0;1,0;GELE KWIKSTAART;16,0
550;2024-04-08;11:00;WAPENVELD;;;;;;;0,0;6,0;0,0;;6,0
551;2024-04-08;11:50;LAMSGROEN;;;;;;;2,0;2,0;0,0;;4,0
552;2024-04-08;12:00;TERLETSE HEIDE;;;;;;;1,0;0,0;0,0;;1,0
553;2024-04-08;12:00;TERLET MOORD;;;;;;;4,0;17,0;3,0;;24,0
554;2024-04-08;12:50;GROENENDAAL;;;;;;;13,0;19,0;0,0;;32,0
555;2024-04-08;13:15;LOENENSEVELD;;;;;;;24,0;35,0;6,0;W.48 63 HRFS Toyota? P.A. Ringallee/Lange Juffer. Man + Vrouw. Ruben Smit 11:00;65,0
556;2024-04-22;00:00;RUSTGEBIED TERLET;;;;;;;7,0;16,0;1,0;;24,0
557;2024-04-22;00:00;DELHUIZEN;;;;;;;7,0;2,0;3,0;1 koe had 3 kalfjes bij zich, verder geen koe in de buurt!;12,0
558;2024-04-22;00:00;Posbank;;;;;;;2,0;5,0;0,0;;7,0
559;2024-04-22;00:00;Onzalige richting Haverkist;;;;;;;2,0;7,0;0,0;;9,0
560;2024-04-22;00:00;Lappendeken;;;;;;;4,0;3,0;0,0;;7,0
561;2024-04-22;00:00;Kromme Elleboog;;;;;;;2,0;0,0;0,0;;2,0
562;2024-04-22;00:00;TERLET ZUID;;;;;;;4,0;20,0;2,0;;26,0
563;2024-04-22;00:00;De Braak;;;;;;;2,0;0,0;0,0;;2,0
564;2024-04-22;00:00;GROENENDAAL;;;;;;;12,0;17,0;0,0;;29,0
565;2024-04-22;00:00;LOENENSEVELD;;;;;;;24,0;38,0;9,0;;71,0
566;2024-04-22;00:00;CAROLINAHOEVE;;;;;;;0,0;0,0;0,0;;0,0
567;2024-04-22;00:00;LAMSGROEN;;;;;;;14,0;34,0;9,0;;57,0
568;2024-04-29;00:00;LOENENSEVELD;;;;;;;14,0;34,0;9,0;;57,0
569;2024-04-29;00:00;KLEINE HEIDE DEELERWOUD;;;;;;;1,0;0,0;0,0;;1,0
570;2024-04-29;00:00;TERLET ZUID;;;;;;;7,0;4,0;3,0;;14,0
571;2024-04-29;00:00;DELHUIZEN;;;;;;;3,0;0,0;0,0;;3,0
572;2024-04-29;00:00;HESSENGAT;;;;;;;1,0;0,0;0,0;;1,0
573;2024-04-29;00:00;TENNEKENSWEG;;;;;;;6,0;9,0;0,0;;15,0
574;2024-04-29;00:00;BRANDSINGEL ACHTER TONNEKES;;;;;;;5,0;5,0;3,0;;13,0
575;2024-04-29;00:00;LAMSGROEN;;;;;;;4,0;1,0;0,0;;5,0
576;2024-04-29;00:00;BLOEMERSWEG/ATB;;;;;;;1,0;0,0;0,0;;1,0
577;2024-04-29;00:00;WOLFSDEL;;;;;;;3,0;0,0;0,0;;3,0
578;2024-04-29;00:00;DRINKPOEL TERLETSE BAAN;;;;;;;3,0;0,0;0,0;;3,0
579;2024-04-29;00:00;TERLET NOORD;;;;;;;1,0;17,0;2,0;;20,0
580;2024-04-29;00:00;DE BRAAK;;;;;;;7,0;15,0;1,0;;23,0
581;2024-04-29;00:00;GROENENDAAL;;;;;;;11,0;19,0;0,0;;30,0
582;2024-04-29;00:00;POSBANK;;;;;;;0,0;0,0;0,0;;0,0
583;2024-04-29;00:00;LAPPENDEKEN;;;;;;;0,0;0,0;0,0;;0,0
584;2024-04-29;00:00;CAROLINAHOEVE;;;;;;;0,0;0,0;0,0;;0,0
585;2024-05-06;00:00;DELHUIZEN;;;;;;;4,0;0,0;0,0;;4,0
586;2024-05-06;00:00;DOORNSTRUIK;;;;;;;1,0;0,0;0,0;;1,0
587;2024-05-06;00:00;POSBANK;;;;;;;0,0;0,0;0,0;;0,0
588;2024-05-06;00:00;CAROLINAHOEVE;;;;;;;0,0;0,0;0,0;;0,0
589;2024-05-06;00:00;LAMSGROEN;;;;;;;0,0;0,0;0,0;;0,0
590;2024-05-06;00:00;DE TIMP/HEMELSE BERG;;;;;;;10,0;21,0;5,0;;36,0
591;2024-05-06;00:00;TONNEKESWEG;;;;;;;5,0;1,0;0,0;;6,0
592;2024-05-06;00:00;TERLET NOORD;;;;;;;9,0;38,0;7,0;;54,0
593;2024-05-06;00:00;GROENENDAAL;;;;;;;17,0;27,0;3,0;;47,0
594;2024-05-06;00:00;LOENENSEVELD;;;;;;;15,0;28,0;11,0;;54,0
595;2024-05-06;00:00;BRINKHORSTERWEG;;;;;;;2,0;0,0;0,0;;2,0
596;2024-05-06;00:00;RUSTGEBIED TERLET;;;;;;;1,0;0,0;0,0;;1,0
597;2024-05-06;00:00;TERLETSE HEIDE;;;;;;;3,0;0,0;0,0;;3,0
598;2024-05-13;00:00;Rustveld Terlet t.h. wildviaduct;;;;;;;10,0;12,0;1,0;;23,0
599;2024-05-13;00:00;KLEINE HEIDE/POEL;;;;;;;4,0;0,0;0,0;;4,0
600;2024-05-13;00:00;HESSENGAT;;;;;;;1,0;1,0;0,0;;2,0
601;2024-05-13;00:00;DELHUIZEN;;;;;;;5,0;0,0;0,0;;5,0
602;2024-05-13;00:00;KROMME ELLEBOOG;;;;;;;7,0;0,0;0,0;;7,0
603;2024-05-13;00:00;LAPPENDEKEN;;;;;;;4,0;7,0;0,0;;11,0
604;2024-05-13;00:00;POEL BRONTSENHEIDE;;;;;;;8,0;14,0;5,0;;27,0
605;2024-05-13;00:00;CAROLINAHOEVE;;;;;;;2,0;2,0;0,0;;4,0
606;2024-05-13;00:00;LAMSGROEN;;;;;;;3,0;1,0;0,0;;4,0
607;2024-05-13;00:00;TERLETSE HEIDE;;;;;;;3,0;0,0;0,0;;3,0
608;2024-05-13;00:00;TERLET NOORD;;;;;;;18,0;27,0;7,0;;52,0
609;2024-05-13;00:00;GROENENDAAL;;;;;;;26,0;34,0;14,0;;74,0
610;2024-05-13;00:00;LOENENSE VELD;;;;;;;11,0;5,0;1,0;;17,0
611;2024-05-13;00:00;POSBANK;;;;;;;0,0;0,0;0,0;;0,0
612;2024-05-13;00:00;BLOEMERSWEG;;;;;;;0,0;0,0;0,0;;0,0
613;2024-06-03;00:00;GROENENDAAL;;;;;;;22,0;30,0;1,0;;53,0
614;2024-06-03;00:00;LOENENSE VELD;;;;;;;16,0;20,0;14,0;;50,0
615;2024-06-03;00:00;EERBEEKSEWEI;;;;;;;2,0;0,0;0,0;;2,0
616;2024-06-03;00:00;CAROLINAHOEVE;;;;;;;2,0;6,0;1,0;;9,0
617;2024-06-03;00:00;TONNEKESWEG/WILDAKKER;;;;;;;5,0;14,0;5,0;;24,0
618;2024-06-03;00:00;TONNEKESWEG;;;;;;;8,0;0,0;0,0;;8,0
619;2024-06-03;00:00;DOORNSTRUIK;;;;;;;1,0;0,0;0,0;;1,0
620;2024-06-03;00:00;LAMSGROEN;;;;;;;1,0;1,0;0,0;;2,0
621;2024-06-03;00:00;WOLFSDEL;;;;;;;3,0;0,0;0,0;;3,0
622;2024-06-03;00:00;TERLETSE HEIDE;;;;;;;3,0;0,0;0,0;2 HINDES + KALF;3,0
623;2024-06-03;00:00;TERLET MOORD;;;;;;;14,0;22,0;6,0;;42,0
624;2024-06-10;00:00;POSBANK;;;;;;;0,0;1,0;1,0;PAS GEBOREN!;2,0
625;2024-06-10;00:00;LAPPENDEKEN;;;;;;;3,0;11,0;7,0;10:30;21,0
626;2024-06-10;00:00;CAROLINAHOEVE;;;;;;;3,0;6,0;1,0;PAS GEBOREN! 10:40;10,0
627;2024-06-10;00:00;WILD WEIDE TONNEKESWEG;;;;;;;14,0;7,0;0,0;BRONST STIEREN. 11:20;21,0
628;2024-06-10;00:00;EERBEEKSEWEG - TERLETSE HEIDE;;;;;;;7,0;15,0;2,0;;24,0
629;2024-06-10;00:00;TERLET NOORD;;;;;;;7,0;10,0;0,0;KOE DOOR PAUL AFGESCHOTEN I.V.M. SLECHTE CONDITIE. EE ASSISTEERD;17,0
630;2024-06-17;00:00;CAROLINAHOEVE;;;;;;;7,0;10,0;8,0;;25,0
631;2024-06-17;00:00;EERBEEKSEWEG;;;;;;;2,0;0,0;0,0;;2,0
632;2024-06-17;00:00;KONINGSWEG R'DAAL;;;;;;;1,0;0,0;0,0;;1,0
633;2024-06-17;00:00;DELHUIZEN R'DAAL;;;;;;;4,0;0,0;0,0;;4,0
634;2024-06-17;00:00;TERLET ZUID;;;;;;;28,0;46,0;10,0;;84,0
635;2024-06-17;00:00;DE BRAAK;;;;;;;2,0;0,0;0,0;;2,0
636;2024-06-17;00:00;GROENENDAAL;;;;;;;18,0;11,0;7,0;;36,0
637;2024-06-17;00:00;LOENENSEVELD;;;;;;;7,0;5,0;4,0;;16,0
638;2024-06-24;00:00;TERLET WEILAND BIJ VLIEGVELD;;;;;;;10,0;13,0;2,0;;25,0
639;2024-06-24;00:00;EERBEEKSEWEG;;;;;;;1,0;0,0;0,0;;1,0
